ts_utc,match,kickoff_utc,bookmaker,market,outcome,point,price
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,livescorebet,h2h,Bosnia & Herzegovina,,2.04
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,livescorebet,h2h,Canada,,3.65
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,livescorebet,h2h,Draw,,2.85
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,leovegas,h2h,Bosnia & Herzegovina,,2.02
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,leovegas,h2h,Canada,,3.6
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,leovegas,h2h,Draw,,2.85
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,leovegas,totals,Over,2.5,2.1
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,leovegas,totals,Under,2.5,1.62
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,virginbet,h2h,Bosnia & Herzegovina,,2.04
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,virginbet,h2h,Canada,,3.65
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,virginbet,h2h,Draw,,2.85
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,casumo,h2h,Bosnia & Herzegovina,,2.12
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,casumo,h2h,Canada,,3.8
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,casumo,h2h,Draw,,3.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,casumo,totals,Over,2.5,2.18
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,casumo,totals,Under,2.5,1.65
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,unibet_uk,h2h,Bosnia & Herzegovina,,2.1
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,unibet_uk,h2h,Canada,,4.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,unibet_uk,h2h,Draw,,2.9
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,grosvenor,h2h,Bosnia & Herzegovina,,2.05
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,grosvenor,h2h,Canada,,3.65
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,grosvenor,h2h,Draw,,2.88
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,grosvenor,totals,Over,2.5,2.14
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,grosvenor,totals,Under,2.5,1.65
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,paddypower,h2h,Bosnia & Herzegovina,,2.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,paddypower,h2h,Canada,,4.5
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,paddypower,h2h,Draw,,3.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,skybet,h2h,Bosnia & Herzegovina,,2.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,skybet,h2h,Canada,,4.2
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,skybet,h2h,Draw,,2.8
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,smarkets,h2h,Bosnia & Herzegovina,,2.22
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,smarkets,h2h,Canada,,4.2
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,smarkets,h2h,Draw,,2.94
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,smarkets,h2h_lay,Bosnia & Herzegovina,,2.3
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,smarkets,h2h_lay,Canada,,1.88
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,smarkets,h2h_lay,Draw,,3.1
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betfair_ex_uk,h2h,Bosnia & Herzegovina,,2.26
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betfair_ex_uk,h2h,Canada,,4.2
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betfair_ex_uk,h2h,Draw,,3.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betfair_ex_uk,h2h_lay,Bosnia & Herzegovina,,2.28
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betfair_ex_uk,h2h_lay,Canada,,4.3
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betfair_ex_uk,h2h_lay,Draw,,3.05
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,coral,h2h,Bosnia & Herzegovina,,2.05
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,coral,h2h,Canada,,3.9
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,coral,h2h,Draw,,2.87
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,ladbrokes_uk,h2h,Bosnia & Herzegovina,,2.05
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,ladbrokes_uk,h2h,Canada,,4.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,ladbrokes_uk,h2h,Draw,,2.87
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betway,h2h,Bosnia & Herzegovina,,2.1
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betway,h2h,Canada,,4.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betway,h2h,Draw,,2.8
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,boylesports,h2h,Bosnia & Herzegovina,,2.1
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,boylesports,h2h,Canada,,4.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,boylesports,h2h,Draw,,2.8
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,sport888,h2h,Bosnia & Herzegovina,,2.1
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,sport888,h2h,Canada,,3.6
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,sport888,h2h,Draw,,2.88
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betvictor,h2h,Bosnia & Herzegovina,,2.3
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betvictor,h2h,Canada,,3.6
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,betvictor,h2h,Draw,,2.7
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,matchbook,h2h,Bosnia & Herzegovina,,2.3
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,matchbook,h2h,Canada,,4.2
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,matchbook,h2h,Draw,,3.0
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,matchbook,h2h_lay,Bosnia & Herzegovina,,2.32
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,matchbook,h2h_lay,Canada,,4.4
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,matchbook,h2h_lay,Draw,,3.05
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,matchbook,totals,Over,2.5,2.38
2026-06-12 20:14,Canada v Bosnia & Herzegovina,2026-06-12T19:02:00Z,matchbook,totals,Under,2.5,1.71
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,paddypower,h2h,Paraguay,,3.75
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,paddypower,h2h,USA,,2.05
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,paddypower,h2h,Draw,,3.1
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,skybet,h2h,Paraguay,,3.75
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,skybet,h2h,USA,,2.05
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,skybet,h2h,Draw,,3.25
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,grosvenor,h2h,Paraguay,,3.95
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,grosvenor,h2h,USA,,2.08
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,grosvenor,h2h,Draw,,3.15
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,grosvenor,totals,Over,2.5,2.43
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,grosvenor,totals,Under,2.5,1.53
2026-06-12 20:14,USA v Paraguay,2026-06-13T01:00:00Z,betfair_ex_uk,h2h,Paraguay,,4.0
